id,spanish,example_es,example_en,mood,tense
323,aprovechar,Aprovecho cada oportunidad que tengo.,I take advantage of every opportunity I have.,Indicativo,Presente
324,transmitir,El canal transmite el partido en vivo.,The channel is broadcasting the game live.,Indicativo,Presente
325,aumentar,Los precios aumentan cada año.,Prices increase every year.,Indicativo,Presente
326,cazar,Los leones cazan en grupo.,Lions hunt in groups.,Indicativo,Presente
327,colocar,Coloco los libros en el estante.,I place the books on the shelf.,Indicativo,Presente
328,importar,No me importa lo que piensen los demás.,I don't care what others think.,Indicativo,Presente
329,presentar,Siempre presento a mis amigos con orgullo.,I always introduce my friends with pride.,Indicativo,Presente
330,saltar,El niño salta de alegría al ver el regalo.,The boy jumps for joy when he sees the gift.,Indicativo,Presente
331,soler,Suelo desayunar café con tostadas.,I usually have coffee with toast for breakfast.,Indicativo,Presente
332,jubilarse,Mi padre se jubila el próximo año.,My father is retiring next year.,Indicativo,Presente
333,amenazar,La tormenta amenaza con dañar los cultivos.,The storm threatens to damage the crops.,Indicativo,Presente
334,matar,El insecticida mata a los mosquitos rápidamente.,The insecticide kills mosquitoes quickly.,Indicativo,Presente
335,la vez,Esta es la primera vez que viajo solo.,This is the first time I've traveled alone.,,
336,el puente,Cruzamos el puente para llegar al otro lado del río.,We crossed the bridge to get to the other side of the river.,,
337,regalar,Le regalo flores a mi madre cada mes.,I give my mother flowers every month.,Indicativo,Presente
338,el mensaje,Te dejé un mensaje en el buzón de voz.,I left you a message on voicemail.,,
339,terrible,Tuvimos un día terrible en el trabajo.,We had a terrible day at work.,,
340,el mundo,Quiere viajar por todo el mundo.,She wants to travel around the whole world.,,
341,el sol,El sol sale muy temprano en verano.,The sun rises very early in summer.,,
342,saludar,Siempre saluda a todos con una sonrisa.,He always greets everyone with a smile.,Indicativo,Presente
343,soñar,Sueño con viajar a Japón algún día.,I dream of traveling to Japan someday.,Indicativo,Presente
344,ocupado,Estoy muy ocupado esta semana con exámenes.,I'm very busy this week with exams.,,
345,despedirse,Me despido de mis compañeros todos los viernes.,I say goodbye to my coworkers every Friday.,Indicativo,Presente
346,tener que,Tengo que terminar este informe hoy.,I have to finish this report today.,Indicativo,Presente
347,romperse,Se le rompe el teléfono cada vez que lo deja caer.,His phone breaks every time he drops it.,Indicativo,Presente
348,destruir,El fuego destruye todo a su paso.,Fire destroys everything in its path.,Indicativo,Presente
349,lleno,El estadio estaba lleno de aficionados.,The stadium was full of fans.,,
350,preocuparse,Me preocupo mucho por mi familia.,I worry a lot about my family.,Indicativo,Presente
351,buenas noches,"Buenas noches, que descanses.","Good night, sleep well.",,
352,volar,Los pájaros vuelan hacia el sur en invierno.,Birds fly south in winter.,Indicativo,Presente
353,horrible,Tuvo una experiencia horrible en el hospital.,He had a horrible experience at the hospital.,,
354,último,Este es el último tren de la noche.,This is the last train of the night.,,
355,construir,Construyen un nuevo hospital en el barrio.,They are building a new hospital in the neighborhood.,Indicativo,Presente
356,encender,Enciendo la calefacción cuando hace frío.,I turn on the heating when it's cold.,Indicativo,Presente
357,crear,Crea contenido para redes sociales.,He creates content for social media.,Indicativo,Presente
358,gritar,Grita cuando se emociona con el partido.,He shouts when he gets excited about the game.,Indicativo,Presente
359,describir,Describo el problema con detalle en el correo.,I describe the problem in detail in the email.,Indicativo,Presente
360,llorar,El bebé llora cuando tiene hambre.,The baby cries when he's hungry.,Indicativo,Presente
361,amar,Él ama profundamente a su familia.,He deeply loves his family.,Indicativo,Presente
362,decidir,Todavía no decidimos adónde ir de vacaciones.,We still haven't decided where to go on vacation.,Indicativo,Presente
363,la solución,Encontramos una solución rápida al problema.,We found a quick solution to the problem.,,
364,el autor,El autor firmó ejemplares de su nuevo libro.,The author signed copies of his new book.,,
365,famoso,Se hizo famoso después de su primera película.,He became famous after his first movie.,,
366,la actividad,El campamento ofrece muchas actividades al aire libre.,The camp offers many outdoor activities.,,
367,más o menos,Llegaremos en más o menos una hora.,We'll arrive in more or less an hour.,,
368,internacional,Trabaja para una organización internacional.,She works for an international organization.,,
369,original,Su idea era muy original.,His idea was very original.,,
370,la letra,No recuerdo la letra de esa canción.,I don't remember the lyrics of that song.,,
371,personal,Eso es un asunto muy personal.,That's a very personal matter.,,
372,la recepción,Deja la llave en la recepción del hotel.,Leave the key at the hotel reception.,,
373,el tráfico,El tráfico estaba terrible esta mañana.,Traffic was terrible this morning.,,
374,la sociedad,La educación es clave para el progreso de la sociedad.,Education is key to the progress of society.,,
375,organizado,Mi escritorio siempre está muy organizado.,My desk is always very organized.,,
376,comunicarse,Nos comunicamos por videollamada casi todos los días.,We communicate by video call almost every day.,Indicativo,Presente
377,puro,Este aceite de oliva es puro.,This olive oil is pure.,,
378,comunicación,La buena comunicación evita muchos malentendidos.,Good communication prevents many misunderstandings.,,
379,la comunidad,Toda la comunidad ayudó a limpiar el parque.,The whole community helped clean the park.,,
380,la ecología,Estudia ecología para proteger los océanos.,She studies ecology to protect the oceans.,,
381,curioso,El niño es muy curioso y hace muchas preguntas.,The boy is very curious and asks a lot of questions.,,
382,informar,Siempre informo a mi equipo de los cambios.,I always inform my team of changes.,Indicativo,Presente
383,la violencia,La película muestra demasiada violencia.,The movie shows too much violence.,,
384,fantástico,Tuvimos un viaje fantástico por Italia.,We had a fantastic trip through Italy.,,
385,modesto,"A pesar de su éxito, sigue siendo muy modesto.","Despite his success, he remains very modest.",,
386,el crítico,El crítico de cine elogió la actuación principal.,The film critic praised the lead performance.,,
387,la vacación,Necesito una vacación después de tanto trabajo.,I need a vacation after so much work.,,
388,la memoria,Tiene muy buena memoria para los nombres.,He has a very good memory for names.,,
389,la conservación,El parque nacional se dedica a la conservación de especies.,The national park is dedicated to species conservation.,,
390,la graduación,Mis padres vinieron a mi graduación.,My parents came to my graduation.,,
391,la biología,La biología marina me parece fascinante.,Marine biology seems fascinating to me.,,
392,la invitación,Recibimos la invitación para la boda ayer.,We received the wedding invitation yesterday.,,
393,la acción,La película es de acción y aventura.,The movie is action and adventure.,,
394,la inseguridad,Su inseguridad le impide hablar en público.,His insecurity keeps him from speaking in public.,,
395,tradicional,Prepararon una comida tradicional para la fiesta.,They prepared a traditional meal for the party.,,
396,la región,Esta región es famosa por sus vinos.,This region is famous for its wines.,,
397,la internet,No funciona la internet en mi casa.,The internet isn't working at my house.,,
398,manipular,Ese vendedor manipula a sus clientes.,That salesman manipulates his customers.,Indicativo,Presente
399,el editor,El editor revisó todo el manuscrito antes de publicarlo.,The editor reviewed the whole manuscript before publishing it.,,
400,la protección,Los guantes ofrecen protección contra el frío.,The gloves offer protection against the cold.,,
401,la industria,La industria textil emplea a miles de personas.,The textile industry employs thousands of people.,,
402,la electricidad,Se fue la electricidad durante la tormenta.,The electricity went out during the storm.,,
403,la modelo,La modelo desfiló con un vestido rojo.,The model walked the runway in a red dress.,,
404,la operación,La operación duró casi cuatro horas.,The operation lasted almost four hours.,,
405,creativo,Necesitamos una solución creativa para este problema.,We need a creative solution for this problem.,,
406,la economía,La economía del país creció el año pasado.,The country's economy grew last year.,,
407,la geografía,Estudiamos la geografía de América del Sur.,We studied the geography of South America.,,
408,la gasolina,El precio de la gasolina subió otra vez.,The price of gasoline went up again.,,
409,especialmente,"Me gusta la fruta, especialmente las fresas.","I like fruit, especially strawberries.",,
410,la víctima,La víctima del accidente ya está fuera de peligro.,The accident victim is already out of danger.,,
411,controlar,Controla su presupuesto con mucho cuidado.,He controls his budget very carefully.,Indicativo,Presente
412,increíble,Vimos un espectáculo increíble anoche.,We saw an incredible show last night.,,
413,la destrucción,El terremoto causó una destrucción enorme.,The earthquake caused enormous destruction.,,
414,consumir,Consumimos demasiada azúcar en nuestra dieta.,We consume too much sugar in our diet.,Indicativo,Presente
415,la oportunidad,Le dieron la oportunidad de trabajar en el extranjero.,They gave him the opportunity to work abroad.,,
416,regular,Vamos al gimnasio de manera regular.,We go to the gym on a regular basis.,,
417,la dieta,Sigue una dieta baja en grasas.,He follows a low-fat diet.,,
418,el defecto,El producto tenía un pequeño defecto de fábrica.,The product had a small factory defect.,,
419,publicar,La revista publica artículos cada semana.,The magazine publishes articles every week.,Indicativo,Presente
420,la agricultura,La agricultura es la principal actividad de esta región.,Agriculture is the main activity of this region.,,
421,atractivo,Encuentro muy atractivo su sentido del humor.,I find his sense of humor very attractive.,,
422,separado,Mis padres están separados desde hace dos años.,My parents have been separated for two years.,,
423,la cualidad,La honestidad es su mejor cualidad.,Honesty is his best quality.,,
424,el planeta,Marte es el cuarto planeta desde el sol.,Mars is the fourth planet from the sun.,,
425,informal,Fue una reunión bastante informal.,It was a fairly informal meeting.,,
426,ecónomico,El país atraviesa una crisis económica.,The country is going through an economic crisis.,,
427,la droga,La campaña advierte sobre los peligros de la droga.,The campaign warns about the dangers of drugs.,,
428,el video,Subí un video nuevo a mi canal.,I uploaded a new video to my channel.,,
429,contaminado,El agua del río está contaminada.,The river water is contaminated.,,
430,violento,Esa escena de la película es muy violenta.,That scene in the movie is very violent.,,
431,la discriminación,La ley protege a las personas contra la discriminación.,The law protects people against discrimination.,,
432,independiente,Se mudó sola para ser más independiente.,She moved out on her own to be more independent.,,
433,el objeto,Encontraron un objeto extraño en la playa.,They found a strange object on the beach.,,
434,la obra de arte,Ese cuadro es una obra de arte increíble.,That painting is an incredible work of art.,,
435,el salario,Recibió un aumento de salario este año.,He got a salary raise this year.,,
436,la generosidad,Agradecemos su generosidad con los más necesitados.,We appreciate his generosity toward those in need.,,
437,tener una cita,Tengo una cita con el dentista mañana.,I have an appointment with the dentist tomorrow.,Indicativo,Presente
438,llamarse,Mi perro se llama Rocky.,My dog is called Rocky.,Indicativo,Presente
439,la experiencia,Tiene mucha experiencia en atención al cliente.,She has a lot of experience in customer service.,,
440,la especialidad,La paella es la especialidad de este restaurante.,Paella is this restaurant's specialty.,,
441,la pensión,Recibe una pensión desde que se jubiló.,He receives a pension since he retired.,,
442,desorganizado,Su escritorio siempre está desorganizado.,His desk is always disorganized.,,
443,salir con,Sale con un compañero de trabajo.,She's going out with a coworker.,Indicativo,Presente
444,el estrés,El estrés del trabajo le afecta el sueño.,Work stress is affecting his sleep.,,
445,el interés,El banco cobra un interés muy alto.,The bank charges very high interest.,,
446,la relación,Llevan una relación muy sana.,They have a very healthy relationship.,,
447,depositar,Deposito mi sueldo todos los meses.,I deposit my salary every month.,Indicativo,Presente
448,el crimen,La policía investiga el crimen desde ayer.,The police have been investigating the crime since yesterday.,,
449,la fecha de nacimiento,Escriba su fecha de nacimiento en el formulario.,Write your date of birth on the form.,,
450,tener cuidado,Siempre tengo cuidado al cruzar la calle.,I'm always careful when crossing the street.,Indicativo,Presente
451,la información,Necesito más información antes de decidir.,I need more information before deciding.,,
452,tener sueño,"Tengo mucho sueño, me voy a la cama.","I'm very sleepy, I'm going to bed.",Indicativo,Presente
453,el correo electrónico,Te envié los documentos por correo electrónico.,I sent you the documents by email.,,
454,complicado,El examen fue más complicado de lo esperado.,The exam was more complicated than expected.,,
455,el músculo,Se lastimó un músculo de la pierna corriendo.,He hurt a leg muscle while running.,,
456,la página web,Diseñó la página web de su nuevo negocio.,He designed the web page for his new business.,,
457,inseguro,Se siente inseguro de hablar frente a mucha gente.,He feels insecure about speaking in front of a lot of people.,,
458,ecológico,Compramos productos de limpieza ecológicos.,We buy ecological cleaning products.,,
459,el candidato,El candidato ganó las elecciones por poco margen.,The candidate won the election by a small margin.,,
460,lavarse la cara,Se lava la cara todas las mañanas antes de desayunar.,He washes his face every morning before breakfast.,Indicativo,Presente
461,la campaña,Lanzaron una campaña publicitaria muy exitosa.,They launched a very successful advertising campaign.,,
462,tener celos,Tiene celos cuando su hermana recibe más atención.,He gets jealous when his sister gets more attention.,Indicativo,Presente
463,talentoso,Es un músico muy talentoso.,He's a very talented musician.,,
464,el contrato,Firmamos el contrato de alquiler ayer.,We signed the rental contract yesterday.,,
465,tener razón,Creo que tienes razón sobre ese tema.,I think you're right about that topic.,Indicativo,Presente
466,la demanda,Hay una gran demanda de productos orgánicos.,There's a great demand for organic products.,,
467,insistir en,Siempre insiste en pagar la cuenta.,He always insists on paying the bill.,Indicativo,Presente
468,la justicia,Buscan justicia para las víctimas del accidente.,They seek justice for the accident victims.,,
469,práctico,Es más práctico tomar el metro que el coche.,It's more practical to take the subway than the car.,,
470,vuestro,¿Es este vuestro coche?,Is this your car?,,
471,estresado,Está muy estresado por los exámenes finales.,He's very stressed about the final exams.,,
472,la estatua,Tomamos fotos junto a la estatua del parque.,We took photos next to the park statue.,,
473,el desastre,La fiesta terminó siendo un desastre.,The party ended up being a disaster.,,
474,el divorcio,Sus padres pasaron por un divorcio difícil.,His parents went through a difficult divorce.,,
475,el aumento,Pidió un aumento de sueldo a su jefe.,He asked his boss for a raise.,,
476,el laboratorio,Los científicos trabajan en el laboratorio toda la noche.,The scientists work in the laboratory all night.,,
477,quitar la mesa,Siempre quito la mesa después de cenar.,I always clear the table after dinner.,Indicativo,Presente
478,el campeón,Fue campeón del torneo dos años seguidos.,He was the tournament champion two years in a row.,,
479,tener éxito,Tiene éxito en todo lo que hace.,She's successful in everything she does.,Indicativo,Presente
480,llevarse bien,Mis hermanos y yo nos llevamos muy bien.,My siblings and I get along very well.,Indicativo,Presente
481,el sitio web,Compré las entradas en el sitio web oficial.,I bought the tickets on the official website.,,
482,la responsabilidad,Cuidar del perro es tu responsabilidad.,Taking care of the dog is your responsibility.,,
484,hablador,Mi tío es muy hablador en las reuniones familiares.,My uncle is very talkative at family gatherings.,,
485,el punto de vista,"Respeto tu punto de vista, aunque no esté de acuerdo.","I respect your point of view, even though I don't agree.",,
486,el archivo,Adjunté el archivo en el correo.,I attached the file to the email.,,
487,llegar tarde,Nunca llego tarde a las reuniones.,I'm never late to meetings.,Indicativo,Presente
488,el reportaje,Vimos un reportaje sobre el cambio climático.,We watched a report about climate change.,,
489,el juego de mesa,Jugamos un juego de mesa después de cenar.,We played a board game after dinner.,,
490,el entrevistador,El entrevistador hizo preguntas muy difíciles.,The interviewer asked very difficult questions.,,
491,la estrategia,El equipo cambió su estrategia en el segundo tiempo.,The team changed its strategy in the second half.,,
492,la deforestación,La deforestación amenaza a muchas especies animales.,Deforestation threatens many animal species.,,
493,lujoso,Se hospedaron en un hotel lujoso durante la luna de miel.,They stayed at a luxurious hotel during their honeymoon.,,
494,la infancia,Pasó su infancia en un pequeño pueblo.,He spent his childhood in a small town.,,
495,la crítica,El libro recibió muy buena crítica.,The book received very good reviews.,,
496,el invitado,El invitado de honor llegó tarde a la cena.,The guest of honor arrived late to the dinner.,,
497,disfrutar de,Disfrutamos mucho de nuestras vacaciones en la playa.,We really enjoy our vacation at the beach.,Indicativo,Presente
498,el consumo,El consumo de energía aumenta en verano.,Energy consumption increases in summer.,,
499,escalar montañas,Escala montañas cada fin de semana.,He climbs mountains every weekend.,Indicativo,Presente
500,el recurso natural,El agua es un recurso natural muy valioso.,Water is a very valuable natural resource.,,
501,realista,Tenemos que ser realistas sobre el plazo del proyecto.,We have to be realistic about the project deadline.,,
502,estar a dieta,"Estoy a dieta, así que no puedo comer postre.","I'm on a diet, so I can't eat dessert.",Indicativo,Presente
503,ir de vacaciones,Vamos de vacaciones a la playa cada verano.,We go on vacation to the beach every summer.,Indicativo,Presente
504,hacer un viaje,Hacen un viaje a Europa cada dos años.,They take a trip to Europe every two years.,Indicativo,Presente
505,pasarlo mal,Lo pasa mal cuando tiene que hablar en público.,He has a bad time when he has to speak in public.,Indicativo,Presente
506,sostenible,Buscan un modelo de desarrollo más sostenible.,They are looking for a more sustainable development model.,,
507,el reportero,El reportero cubrió la noticia en vivo.,The reporter covered the news live.,,
508,ganarse la vida,Se gana la vida como carpintero.,He earns a living as a carpenter.,Indicativo,Presente
509,la manifestación,Miles de personas participaron en la manifestación.,Thousands of people took part in the demonstration.,,
510,el usuario,La aplicación tiene más de un millón de usuarios.,The app has more than a million users.,,
511,la sanidad,El gobierno invirtió más dinero en la sanidad pública.,The government invested more money in public healthcare.,,
512,el desempleo,El desempleo bajó durante el último trimestre.,Unemployment dropped during the last quarter.,,
513,el equilibrio,Es importante mantener el equilibrio entre trabajo y vida personal.,It's important to maintain a balance between work and personal life.,,
514,el edificio de apartamentos,Viven en un edificio de apartamentos cerca del centro.,They live in an apartment building near downtown.,,
515,llevarse mal,Se llevan mal desde que discutieron por el dinero.,They get along badly since they argued over money.,Indicativo,Presente
516,el beneficio,La empresa tuvo grandes beneficios este trimestre.,The company had large profits this quarter.,,
517,la ecologista,La ecologista organizó una protesta contra la tala de árboles.,The environmentalist organized a protest against tree cutting.,,
518,la autoestima,Hacer deporte mejoró mucho su autoestima.,Playing sports greatly improved her self-esteem.,,
519,nutritivo,Intentamos preparar comidas nutritivas para los niños.,We try to prepare nutritious meals for the kids.,,
520,la diversión,El parque de diversiones es pura diversión para los niños.,The amusement park is pure fun for the kids.,,
521,apasionado,Es un apasionado de la música clásica.,He's passionate about classical music.,,
522,comentar,Siempre comenta las noticias con sus amigos.,He always discusses the news with his friends.,Indicativo,Presente
523,el medicamento,Tienes que tomar este medicamento tres veces al día.,You have to take this medicine three times a day.,,
524,el cambio climático,El cambio climático afecta a todo el planeta.,Climate change affects the whole planet.,,
525,el agricultor,El agricultor cosecha maíz cada otoño.,The farmer harvests corn every fall.,,
526,el funcionario,Trabaja como funcionario en el ayuntamiento.,He works as a civil servant at the city council.,,
527,equilibrado,Es importante llevar una dieta equilibrada.,It's important to have a balanced diet.,,
528,el enfado,Se le pasó el enfado después de hablar con ella.,His anger went away after talking with her.,,
529,el petróleo,El precio del petróleo subió esta semana.,The price of oil went up this week.,,
530,la publicidad,Trabaja en publicidad para una marca de ropa.,She works in advertising for a clothing brand.,,
531,la entrega,La entrega del paquete tardó una semana.,The package delivery took a week.,,
532,la ciencia ficción,Le encantan las películas de ciencia ficción.,He loves science fiction movies.,,
533,la computación,Estudia computación en la universidad.,She studies computer science at university.,,
534,el rescate,El equipo de rescate llegó rápidamente al lugar del accidente.,The rescue team arrived quickly at the accident site.,,
535,el envase,Reciclamos el envase de plástico después de usarlo.,We recycle the plastic container after using it.,,
536,la informática,Trabaja en el departamento de informática de la empresa.,He works in the company's computing department.,,
537,el requisito,Cumplir con este requisito es obligatorio para el puesto.,Meeting this requirement is mandatory for the position.,,
538,el campamento,Los niños fueron a un campamento de verano.,The kids went to a summer camp.,,
539,el consumidor,La empresa escucha las quejas del consumidor.,The company listens to consumer complaints.,,
540,elaborar,La empresa elabora productos artesanales.,The company makes handcrafted products.,Indicativo,Presente
541,la aspirante,La aspirante tuvo una entrevista excelente.,The applicant had an excellent interview.,,
542,el ascenso,Recibió un ascenso después de cinco años en la empresa.,He received a promotion after five years at the company.,,
543,el descubrimiento,El descubrimiento del nuevo fósil sorprendió a los científicos.,The discovery of the new fossil surprised scientists.,,
544,el retraso,Hubo un retraso de dos horas en el vuelo.,There was a two-hour delay on the flight.,,
545,la indígena,La comunidad indígena conserva sus tradiciones antiguas.,The indigenous community preserves its ancient traditions.,,
546,el árbitro,El árbitro sacó tarjeta roja al jugador.,The referee showed the player a red card.,,
547,el diseñador,El diseñador presentó su nueva colección de ropa.,The designer presented his new clothing collection.,,
548,el préstamo,Pidieron un préstamo al banco para comprar la casa.,They took out a loan from the bank to buy the house.,,
549,desigualdad,La desigualdad económica sigue siendo un gran problema.,Economic inequality remains a big problem.,,
550,el ayuntamiento,El ayuntamiento aprobó el nuevo parque.,The city council approved the new park.,,
551,pedir prestado,A veces pido prestado el coche de mi hermano.,Sometimes I borrow my brother's car.,Indicativo,Presente
552,el malentendido,Todo fue un malentendido entre nosotros.,It was all a misunderstanding between us.,,
553,empatar,Los dos equipos empatan casi siempre.,The two teams almost always tie.,Indicativo,Presente
554,presumido,Es demasiado presumido con su nuevo coche.,He's too conceited about his new car.,,
555,la inundación,La inundación destruyó varias casas del pueblo.,The flood destroyed several houses in the town.,,
556,la sabiduría,Sus palabras reflejan mucha sabiduría.,His words reflect great wisdom.,,
557,el calentamiento global,El calentamiento global está derritiendo los glaciares.,Global warming is melting the glaciers.,,
558,adelgazar,Adelgaza cuando hace ejercicio con regularidad.,She loses weight when she exercises regularly.,Indicativo,Presente
559,aplaudir,El público aplaude al final del concierto.,The audience applauds at the end of the concert.,Indicativo,Presente
560,el aficionado,Es un gran aficionado del fútbol.,He's a huge soccer fan.,,
561,la sequía,La sequía afectó las cosechas de este año.,The drought affected this year's harvests.,,
562,el título,Todavía no decidí el título de mi tesis.,I still haven't decided on the title of my thesis.,,
563,el océano,El océano Pacífico es el más grande del mundo.,The Pacific Ocean is the largest in the world.,,
564,adolescencia,"Durante la adolescencia, los cambios físicos son constantes.","During adolescence, physical changes are constant.",,
565,grave,El paciente sufrió una lesión grave en el accidente.,The patient suffered a serious injury in the accident.,,
