id,spanish,english ,other_common_meanings,common_definitions
279,disponible,available,,General meaning: available | Usage note: 'disponible' commonly refers to available in everyday conversation.
280,el significado,meaning,,General meaning: meaning | Usage note: 'el significado' commonly refers to meaning in everyday conversation.
281,tratar de,to try,,General meaning: to try | Usage note: 'tratar de' commonly refers to to try in everyday conversation.
282,la nacionalidad,nationality,,General meaning: nationality | Usage note: 'la nacionalidad' commonly refers to nationality in everyday conversation.
283,mudarse,to move,,General meaning: to move | Usage note: 'mudarse' commonly refers to to move in everyday conversation.
284,enfrentar,to confront,,General meaning: to confront | Usage note: 'enfrentar' commonly refers to to confront in everyday conversation.
285,robar ,to steal,,General meaning: to steal | Usage note: 'robar' commonly refers to to steal in everyday conversation.
286,el compañero,companion,,General meaning: companion | Usage note: 'el compañero' commonly refers to companion in everyday conversation.
287,soltero,single,,General meaning: single | Usage note: 'soltero' commonly refers to single in everyday conversation.
288,apenas,barely,,General meaning: barely | Usage note: 'apenas' commonly refers to barely in everyday conversation.
289,la pena,shame,,General meaning: shame | Usage note: 'la pena' commonly refers to shame in everyday conversation.
290,estupendo,great,,General meaning: great | Alternate Spanish term: genial | Usage note: 'estupendo' commonly refers to great in everyday conversation.
291,claro,clear,,General meaning: clear | Usage note: 'claro' commonly refers to clear in everyday conversation.
292,despedir,to fire,,General meaning: to fire | Usage note: 'despedir' commonly refers to to fire in everyday conversation.
293,el camino,road,,General meaning: road | Usage note: 'el camino' commonly refers to road in everyday conversation.
294,el grado,degree,,General meaning: degree | Usage note: 'el grado' commonly refers to degree in everyday conversation.
295,genial,great,"can also mean brilliant(like in an intelligent way), or funny/witty","General meaning: great | Other senses: can also mean brilliant(like in an intelligent way), or funny/witty | Alternate Spanish term: estupendo | Usage note: 'genial' commonly refers to great in everyday conversation."
296,ir a ,to go to,,General meaning: to go to | Usage note: 'ir a' commonly refers to to go to in everyday conversation.
297,muchas gracias,thank you very much,,General meaning: thank you very much | Usage note: 'muchas gracias' commonly refers to thank you very much in everyday conversation.
298,fascinar,to fascinate,,General meaning: to fascinate | Usage note: 'fascinar' commonly refers to to fascinate in everyday conversation.
299,respetar,to respect,,General meaning: to respect | Usage note: 'respetar' commonly refers to to respect in everyday conversation.
300,quitarse,to take off,,General meaning: to take off | Usage note: 'quitarse' commonly refers to to take off in everyday conversation.
301,la paz,peace,,General meaning: peace | Usage note: 'la paz' commonly refers to peace in everyday conversation.
302,el hecho,fact,,General meaning: fact | Usage note: 'el hecho' commonly refers to fact in everyday conversation.
303,interesar,to interest,,General meaning: to interest | Usage note: 'interesar' commonly refers to to interest in everyday conversation.
304,cobrar,to charge for,,General meaning: to charge for | Usage note: 'cobrar' commonly refers to to charge for in everyday conversation.
305,igual,equal,,General meaning: equal | Usage note: 'igual' commonly refers to equal in everyday conversation.
306,buenas tardes,good afternoon,,General meaning: good afternoon | Usage note: 'buenas tardes' commonly refers to good afternoon in everyday conversation.
307,vago,lazy,,General meaning: lazy | Usage note: 'vago' commonly refers to lazy in everyday conversation.
308,la clave,key,,General meaning: key | Usage note: 'la clave' commonly refers to key in everyday conversation.
309,hermoso,beautiful,,General meaning: beautiful | Alternate Spanish term: bello | Usage note: 'hermoso' commonly refers to beautiful in everyday conversation.
310,probarse,to try on,,General meaning: to try on | Usage note: 'probarse' commonly refers to to try on in everyday conversation.
311,por supuesto,of course,,General meaning: of course | Usage note: 'por supuesto' commonly refers to of course in everyday conversation.
312,el oso,bear,,General meaning: bear | Usage note: 'el oso' commonly refers to bear in everyday conversation.
313,la sangre,blood,,General meaning: blood | Usage note: 'la sangre' commonly refers to blood in everyday conversation.
314,utilizar,to use,,General meaning: to use | Usage note: 'utilizar' commonly refers to to use in everyday conversation.
315,flexible,flexible,,General meaning: flexible | Usage note: 'flexible' commonly refers to flexible in everyday conversation.
316,el enlace,link,,General meaning: link | Usage note: 'el enlace' commonly refers to link in everyday conversation.
317,medir,to measure,,General meaning: to measure | Usage note: 'medir' commonly refers to to measure in everyday conversation.
318,elegir,to choose,,General meaning: to choose | Usage note: 'elegir' commonly refers to to choose in everyday conversation.
319,relajarse,to relax,,General meaning: to relax | Usage note: 'relajarse' commonly refers to to relax in everyday conversation.
320,recorrer,to travel around,,General meaning: to travel around | Usage note: 'recorrer' commonly refers to to travel around in everyday conversation.
321,crecer,to grow,,General meaning: to grow | Usage note: 'crecer' commonly refers to to grow in everyday conversation.
322,alquilar,to rent,,General meaning: to rent | Usage note: 'alquilar' commonly refers to to rent in everyday conversation.
323,aprovechar,to take advantage of,,General meaning: to take advantage of | Usage note: 'aprovechar' commonly refers to to take advantage of in everyday conversation.
324,transmitir,to transmit,,General meaning: to transmit | Usage note: 'transmitir' commonly refers to to transmit in everyday conversation.
325,aumentar,to increase,,General meaning: to increase | Usage note: 'aumentar' commonly refers to to increase in everyday conversation.
326,cazar,to hunt,,General meaning: to hunt | Usage note: 'cazar' commonly refers to to hunt in everyday conversation.
327,colocar,to place,,General meaning: to place | Usage note: 'colocar' commonly refers to to place in everyday conversation.
328,importar,to matter,,General meaning: to matter | Usage note: 'importar' commonly refers to to matter in everyday conversation.
329,presentar,to introduce,,General meaning: to introduce | Usage note: 'presentar' commonly refers to to introduce in everyday conversation.
330,saltar,to jump,,General meaning: to jump | Usage note: 'saltar' commonly refers to to jump in everyday conversation.
331,soler,to use to,,General meaning: to use to | Usage note: 'soler' commonly refers to to use to in everyday conversation.
332,jubilarse,to retire,,General meaning: to retire | Usage note: 'jubilarse' commonly refers to to retire in everyday conversation.
333,amenazar,to threaten,,General meaning: to threaten | Usage note: 'amenazar' commonly refers to to threaten in everyday conversation.
334,matar,to kill,,General meaning: to kill | Usage note: 'matar' commonly refers to to kill in everyday conversation.
335,la vez,time,,General meaning: time | Usage note: 'la vez' commonly refers to time in everyday conversation.
336,el puente,bridge,,General meaning: bridge | Usage note: 'el puente' commonly refers to bridge in everyday conversation.
337,regalar,to give,,General meaning: to give | Usage note: 'regalar' commonly refers to to give in everyday conversation.
338,el mensaje,message,,General meaning: message | Usage note: 'el mensaje' commonly refers to message in everyday conversation.
339,terrible,terrible,,General meaning: terrible | Usage note: 'terrible' commonly refers to terrible in everyday conversation.
340,el mundo,world,,General meaning: world | Usage note: 'el mundo' commonly refers to world in everyday conversation.
341,el sol,sun,,General meaning: sun | Usage note: 'el sol' commonly refers to sun in everyday conversation.
342,saludar,to greet,,General meaning: to greet | Usage note: 'saludar' commonly refers to to greet in everyday conversation.
343,soñar,to dream,,General meaning: to dream | Usage note: 'soñar' commonly refers to to dream in everyday conversation.
344,ocupado,busy,,General meaning: busy | Usage note: 'ocupado' commonly refers to busy in everyday conversation.
345,despedirse,to say goodbye to,,General meaning: to say goodbye to | Usage note: 'despedirse' commonly refers to to say goodbye to in everyday conversation.
346,tener que,to have to,,General meaning: to have to | Usage note: 'tener que' commonly refers to to have to in everyday conversation.
347,romperse,to break,,General meaning: to break | Usage note: 'romperse' commonly refers to to break in everyday conversation.
348,destruir,to destroy,,General meaning: to destroy | Usage note: 'destruir' commonly refers to to destroy in everyday conversation.
349,lleno,full,,General meaning: full | Usage note: 'lleno' commonly refers to full in everyday conversation.
350,preocuparse,to worry,,General meaning: to worry | Usage note: 'preocuparse' commonly refers to to worry in everyday conversation.
351,buenas noches,good evening,,General meaning: good evening | Usage note: 'buenas noches' commonly refers to good evening in everyday conversation.
352,volar,to fly,,General meaning: to fly | Usage note: 'volar' commonly refers to to fly in everyday conversation.
353,horrible,horrible,,General meaning: horrible | Usage note: 'horrible' commonly refers to horrible in everyday conversation.
354,último,last,,General meaning: last | Usage note: 'último' commonly refers to last in everyday conversation.
355,construir,to build,,General meaning: to build | Usage note: 'construir' commonly refers to to build in everyday conversation.
356,encender,to turn on,,General meaning: to turn on | Usage note: 'encender' commonly refers to to turn on in everyday conversation.
357,crear,to create,,General meaning: to create | Usage note: 'crear' commonly refers to to create in everyday conversation.
358,gritar,to shout,,General meaning: to shout | Usage note: 'gritar' commonly refers to to shout in everyday conversation.
359,describir,to describe,,General meaning: to describe | Usage note: 'describir' commonly refers to to describe in everyday conversation.
360,llorar,to cry,,General meaning: to cry | Usage note: 'llorar' commonly refers to to cry in everyday conversation.
361,amar,to love,,General meaning: to love | Usage note: 'amar' commonly refers to to love in everyday conversation.
362,decidir,to decide,,General meaning: to decide | Usage note: 'decidir' commonly refers to to decide in everyday conversation.
363,la solución,solution,,General meaning: solution | Usage note: 'la solución' commonly refers to solution in everyday conversation.
364,el autor,author,,General meaning: author | Usage note: 'el autor' commonly refers to author in everyday conversation.
365,famoso,famous,,General meaning: famous | Usage note: 'famoso' commonly refers to famous in everyday conversation.
366,la actividad,activity,,General meaning: activity | Usage note: 'la actividad' commonly refers to activity in everyday conversation.
367,más o menos,more or less,,General meaning: more or less | Usage note: 'más o menos' commonly refers to more or less in everyday conversation.
368,internacional,international,,General meaning: international | Usage note: 'internacional' commonly refers to international in everyday conversation.
369,original,original,,General meaning: original | Usage note: 'original' commonly refers to original in everyday conversation.
370,la letra,letter,,General meaning: letter | Usage note: 'la letra' commonly refers to letter in everyday conversation.
371,personal ,personal,,General meaning: personal | Usage note: 'personal' commonly refers to personal in everyday conversation.
372,la recepción,reception,,General meaning: reception | Usage note: 'la recepción' commonly refers to reception in everyday conversation.
373,el tráfico,traffic,,General meaning: traffic | Usage note: 'el tráfico' commonly refers to traffic in everyday conversation.
374,la sociedad,society,,General meaning: society | Usage note: 'la sociedad' commonly refers to society in everyday conversation.
375,organizado,organized,,General meaning: organized | Usage note: 'organizado' commonly refers to organized in everyday conversation.
376,comunicarse,to communicate,,General meaning: to communicate | Usage note: 'comunicarse' commonly refers to to communicate in everyday conversation.
377,puro,pure,,General meaning: pure | Usage note: 'puro' commonly refers to pure in everyday conversation.
378,comunicación,communication,,General meaning: communication | Usage note: 'comunicación' commonly refers to communication in everyday conversation.
379,la comunidad,community,,General meaning: community | Usage note: 'la comunidad' commonly refers to community in everyday conversation.
380,la ecología,ecology,,General meaning: ecology | Usage note: 'la ecología' commonly refers to ecology in everyday conversation.
381,curioso,curious,,General meaning: curious | Usage note: 'curioso' commonly refers to curious in everyday conversation.
382,informar,to inform,,General meaning: to inform | Usage note: 'informar' commonly refers to to inform in everyday conversation.
383,la violencia,violence,,General meaning: violence | Usage note: 'la violencia' commonly refers to violence in everyday conversation.
384,fantástico,fantastic,,General meaning: fantastic | Usage note: 'fantástico' commonly refers to fantastic in everyday conversation.
385,modesto,modest,,General meaning: modest | Usage note: 'modesto' commonly refers to modest in everyday conversation.
386,el crítico,critic,,General meaning: critic | Usage note: 'el crítico' commonly refers to critic in everyday conversation.
387,la vacación,vacation,,General meaning: vacation | Usage note: 'la vacación' commonly refers to vacation in everyday conversation.
388,la memoria,memory,,General meaning: memory | Alternate Spanish term: el recuerdo | Usage note: 'la memoria' commonly refers to memory in everyday conversation.
389,la conservación,conservation,,General meaning: conservation | Usage note: 'la conservación' commonly refers to conservation in everyday conversation.
390,la graduación,graduation,,General meaning: graduation | Usage note: 'la graduación' commonly refers to graduation in everyday conversation.
391,la biología,biology,,General meaning: biology | Usage note: 'la biología' commonly refers to biology in everyday conversation.
392,la invitación,invitation,,General meaning: invitation | Usage note: 'la invitación' commonly refers to invitation in everyday conversation.
393,la acción,action,,General meaning: action | Usage note: 'la acción' commonly refers to action in everyday conversation.
394,la inseguridad,insecurity,,General meaning: insecurity | Usage note: 'la inseguridad' commonly refers to insecurity in everyday conversation.
395,tradicional,traditional,,General meaning: traditional | Usage note: 'tradicional' commonly refers to traditional in everyday conversation.
396,la región,region,,General meaning: region | Usage note: 'la región' commonly refers to region in everyday conversation.
397,la internet,internet,,General meaning: internet | Usage note: 'la internet' commonly refers to internet in everyday conversation.
398,manipular,to manipulate,,General meaning: to manipulate | Usage note: 'manipular' commonly refers to to manipulate in everyday conversation.
399,el editor,editor,,General meaning: editor | Usage note: 'el editor' commonly refers to editor in everyday conversation.
400,la protección,protection,,General meaning: protection | Usage note: 'la protección' commonly refers to protection in everyday conversation.
401,la industria,industry,,General meaning: industry | Usage note: 'la industria' commonly refers to industry in everyday conversation.
402,la electricidad,electricity,,General meaning: electricity | Usage note: 'la electricidad' commonly refers to electricity in everyday conversation.
403,la modelo,model,,General meaning: model | Usage note: 'la modelo' commonly refers to model in everyday conversation.
404,la operación,operation,,General meaning: operation | Usage note: 'la operación' commonly refers to operation in everyday conversation.
405,creativo,creative,,General meaning: creative | Usage note: 'creativo' commonly refers to creative in everyday conversation.
406,la economía,economy,,General meaning: economy | Usage note: 'la economía' commonly refers to economy in everyday conversation.
407,la geografía,geography,,General meaning: geography | Usage note: 'la geografía' commonly refers to geography in everyday conversation.
408,la gasolina,gasoline,,General meaning: gasoline | Usage note: 'la gasolina' commonly refers to gasoline in everyday conversation.
409,especialmente,especially,,General meaning: especially | Usage note: 'especialmente' commonly refers to especially in everyday conversation.
410,la víctima,victim,,General meaning: victim | Usage note: 'la víctima' commonly refers to victim in everyday conversation.
411,controlar,to control,,General meaning: to control | Usage note: 'controlar' commonly refers to to control in everyday conversation.
412,increíble,incredible,,General meaning: incredible | Usage note: 'increíble' commonly refers to incredible in everyday conversation.
413,la destrucción,destruction,,General meaning: destruction | Usage note: 'la destrucción' commonly refers to destruction in everyday conversation.
414,consumir,to consume,,General meaning: to consume | Usage note: 'consumir' commonly refers to to consume in everyday conversation.
415,la oportunidad,opportunity,,General meaning: opportunity | Usage note: 'la oportunidad' commonly refers to opportunity in everyday conversation.
416,regular,regular,,General meaning: regular | Usage note: 'regular' commonly refers to regular in everyday conversation.
417,la dieta,diet,,General meaning: diet | Usage note: 'la dieta' commonly refers to diet in everyday conversation.
418,el defecto,defect,,General meaning: defect | Usage note: 'el defecto' commonly refers to defect in everyday conversation.
419,publicar,to publish,,General meaning: to publish | Usage note: 'publicar' commonly refers to to publish in everyday conversation.
420,la agricultura,agriculture,,General meaning: agriculture | Usage note: 'la agricultura' commonly refers to agriculture in everyday conversation.
421,atractivo,attractive,,General meaning: attractive | Usage note: 'atractivo' commonly refers to attractive in everyday conversation.
422,separado,seperated ,,General meaning: seperated | Usage note: 'separado' commonly refers to seperated in everyday conversation.
423,la cualidad,quality,,General meaning: quality | Alternate Spanish term: la calidad | Usage note: 'la cualidad' commonly refers to quality in everyday conversation.
424,el planeta,planet,,General meaning: planet | Usage note: 'el planeta' commonly refers to planet in everyday conversation.
425,informal,informal,,General meaning: informal | Usage note: 'informal' commonly refers to informal in everyday conversation.
426,ecónomico,economic,,General meaning: economic | Usage note: 'ecónomico' commonly refers to economic in everyday conversation.
427,la droga,drug,,General meaning: drug | Usage note: 'la droga' commonly refers to drug in everyday conversation.
428,el video,video,,General meaning: video | Usage note: 'el video' commonly refers to video in everyday conversation.
429,contaminado,contaminated ,,General meaning: contaminated | Usage note: 'contaminado' commonly refers to contaminated in everyday conversation.
430,violento,violent,,General meaning: violent | Usage note: 'violento' commonly refers to violent in everyday conversation.
431,la discriminación,discrimination,,General meaning: discrimination | Usage note: 'la discriminación' commonly refers to discrimination in everyday conversation.
432,independiente,independent,,General meaning: independent | Usage note: 'independiente' commonly refers to independent in everyday conversation.
433,el objeto,object,,General meaning: object | Usage note: 'el objeto' commonly refers to object in everyday conversation.
434,la obra de arte,work of art,,General meaning: work of art | Usage note: 'la obra de arte' commonly refers to work of art in everyday conversation.
435,el salario,salary,,General meaning: salary | Usage note: 'el salario' commonly refers to salary in everyday conversation.
436,la generosidad,generosity,,General meaning: generosity | Usage note: 'la generosidad' commonly refers to generosity in everyday conversation.
437,tener una cita,to have an appointment,,General meaning: to have an appointment | Usage note: 'tener una cita' commonly refers to to have an appointment in everyday conversation.
438,llamarse,to be called,,General meaning: to be called | Usage note: 'llamarse' commonly refers to to be called in everyday conversation.
439,la experiencia,experience ,,General meaning: experience | Usage note: 'la experiencia' commonly refers to experience in everyday conversation.
440,la especialidad,specialty,,General meaning: specialty | Usage note: 'la especialidad' commonly refers to specialty in everyday conversation.
441,la pensión,pension,,General meaning: pension | Usage note: 'la pensión' commonly refers to pension in everyday conversation.
442,desorganizado,disorganized,,General meaning: disorganized | Usage note: 'desorganizado' commonly refers to disorganized in everyday conversation.
443,salir con,to go out with,,General meaning: to go out with | Usage note: 'salir con' commonly refers to to go out with in everyday conversation.
444,el estrés,stress,,General meaning: stress | Usage note: 'el estrés' commonly refers to stress in everyday conversation.
445,el interés,interest,,General meaning: interest | Usage note: 'el interés' commonly refers to interest in everyday conversation.
446,la relación,relationship,,General meaning: relationship | Usage note: 'la relación' commonly refers to relationship in everyday conversation.
447,depositar,to deposit,,General meaning: to deposit | Usage note: 'depositar' commonly refers to to deposit in everyday conversation.
448,el crimen,crime,,General meaning: crime | Usage note: 'el crimen' commonly refers to crime in everyday conversation.
449,la fecha de nacimiento,date of birth,,General meaning: date of birth | Usage note: 'la fecha de nacimiento' commonly refers to date of birth in everyday conversation.
450,tener cuidado,to be careful,,General meaning: to be careful | Usage note: 'tener cuidado' commonly refers to to be careful in everyday conversation.
451,la información,information,,General meaning: information | Usage note: 'la información' commonly refers to information in everyday conversation.
452,tener sueño,to be sleepy,,General meaning: to be sleepy | Usage note: 'tener sueño' commonly refers to to be sleepy in everyday conversation.
453,el correo electrónico,email,,General meaning: email | Usage note: 'el correo electrónico' commonly refers to email in everyday conversation.
454,complicado,complicated,,General meaning: complicated | Usage note: 'complicado' commonly refers to complicated in everyday conversation.
455,el músculo,muscle,,General meaning: muscle | Usage note: 'el músculo' commonly refers to muscle in everyday conversation.
456,la página web,web page,,General meaning: web page | Usage note: 'la página web' commonly refers to web page in everyday conversation.
457,inseguro,insecure,,General meaning: insecure | Usage note: 'inseguro' commonly refers to insecure in everyday conversation.
458,ecológico,ecological,,General meaning: ecological | Usage note: 'ecológico' commonly refers to ecological in everyday conversation.
459,el candidato,candidate,,General meaning: candidate | Usage note: 'el candidato' commonly refers to candidate in everyday conversation.
460,lavarse la cara,to wash one's face,,General meaning: to wash one's face | Usage note: 'lavarse la cara' commonly refers to to wash one's face in everyday conversation.
461,la campaña,campaign,,General meaning: campaign | Usage note: 'la campaña' commonly refers to campaign in everyday conversation.
462,tener celos,to be jealous,,General meaning: to be jealous | Usage note: 'tener celos' commonly refers to to be jealous in everyday conversation.
463,talentoso,talented,,General meaning: talented | Usage note: 'talentoso' commonly refers to talented in everyday conversation.
464,el contrato,contract,,General meaning: contract | Usage note: 'el contrato' commonly refers to contract in everyday conversation.
465,tener razón,to be right,,General meaning: to be right | Usage note: 'tener razón' commonly refers to to be right in everyday conversation.
466,la demanda,demand,,General meaning: demand | Usage note: 'la demanda' commonly refers to demand in everyday conversation.
467,insistir en,to insist on ,,General meaning: to insist on | Usage note: 'insistir en' commonly refers to to insist on in everyday conversation.
468,la justicia,justice,,General meaning: justice | Usage note: 'la justicia' commonly refers to justice in everyday conversation.
469,práctico,practical,,General meaning: practical | Usage note: 'práctico' commonly refers to practical in everyday conversation.
470,vuestro,your,,General meaning: your | Usage note: 'vuestro' commonly refers to your in everyday conversation.
471,estresado,stressed,,General meaning: stressed | Usage note: 'estresado' commonly refers to stressed in everyday conversation.
472,la estatua,statue,,General meaning: statue | Usage note: 'la estatua' commonly refers to statue in everyday conversation.
473,el desastre,disaster,similar spelling & pronounciation but kind of diff,General meaning: disaster | Other senses: similar spelling & pronounciation but kind of diff | Usage note: 'el desastre' commonly refers to disaster in everyday conversation.
474,el divorcio,divorce,,General meaning: divorce | Usage note: 'el divorcio' commonly refers to divorce in everyday conversation.
475,el aumento,increase,,General meaning: increase | Usage note: 'el aumento' commonly refers to increase in everyday conversation.
476,el laboratorio,laboratory,"-orio to ""-ory"" pattern? ","General meaning: laboratory | Other senses: -orio to ""-ory"" pattern? | Usage note: 'el laboratorio' commonly refers to laboratory in everyday conversation."
477,quitar la mesa,to clear the table,,General meaning: to clear the table | Usage note: 'quitar la mesa' commonly refers to to clear the table in everyday conversation.
478,el campeón,champion,,General meaning: champion | Usage note: 'el campeón' commonly refers to champion in everyday conversation.
479,tener éxito,to be successful,,General meaning: to be successful | Usage note: 'tener éxito' commonly refers to to be successful in everyday conversation.
480,llevarse bien,to get along,,General meaning: to get along | Usage note: 'llevarse bien' commonly refers to to get along in everyday conversation.
481,el sitio web,website,,General meaning: website | Usage note: 'el sitio web' commonly refers to website in everyday conversation.
482,la responsabilidad,responsibility,,General meaning: responsibility | Usage note: 'la responsabilidad' commonly refers to responsibility in everyday conversation.
484,hablador,talkative,,General meaning: talkative | Usage note: 'hablador' commonly refers to talkative in everyday conversation.
485,el punto de vista,point of view,,General meaning: point of view | Usage note: 'el punto de vista' commonly refers to point of view in everyday conversation.
486,el archivo,file,,General meaning: file | Usage note: 'el archivo' commonly refers to file in everyday conversation.
487,llegar tarde,to be late,,General meaning: to be late | Usage note: 'llegar tarde' commonly refers to to be late in everyday conversation.
488,el reportaje,report,,General meaning: report | Alternate Spanish term: el informe | Usage note: 'el reportaje' commonly refers to report in everyday conversation.
489,el juego de mesa,board game,,General meaning: board game | Usage note: 'el juego de mesa' commonly refers to board game in everyday conversation.
490,el entrevistador,interviewer,,General meaning: interviewer | Usage note: 'el entrevistador' commonly refers to interviewer in everyday conversation.
491,la estrategia,strategy,,General meaning: strategy | Usage note: 'la estrategia' commonly refers to strategy in everyday conversation.
492,la deforestación,deforestation,,General meaning: deforestation | Usage note: 'la deforestación' commonly refers to deforestation in everyday conversation.
493,lujoso,luxurious,,General meaning: luxurious | Usage note: 'lujoso' commonly refers to luxurious in everyday conversation.
494,la infancia,childhood,,General meaning: childhood | Usage note: 'la infancia' commonly refers to childhood in everyday conversation.
495,la crítica,criticism,,General meaning: criticism | Usage note: 'la crítica' commonly refers to criticism in everyday conversation.
496,el invitado,guest,,General meaning: guest | Alternate Spanish term: la huésped | Usage note: 'el invitado' commonly refers to guest in everyday conversation.
497,disfrutar de,to enjoy,,General meaning: to enjoy | Usage note: 'disfrutar de' commonly refers to to enjoy in everyday conversation.
498,el consumo,consumption,,General meaning: consumption | Usage note: 'el consumo' commonly refers to consumption in everyday conversation.
499,escalar montañas,to climb mountains,,General meaning: to climb mountains | Usage note: 'escalar montañas' commonly refers to to climb mountains in everyday conversation.
500,el recurso natural,natural resource,,General meaning: natural resource | Usage note: 'el recurso natural' commonly refers to natural resource in everyday conversation.
501,realista,realistic ,,General meaning: realistic | Usage note: 'realista' commonly refers to realistic in everyday conversation.
502,estar a dieta,to be on a diet,,General meaning: to be on a diet | Usage note: 'estar a dieta' commonly refers to to be on a diet in everyday conversation.
503,ir de vacaciones,to go on vacation,,General meaning: to go on vacation | Usage note: 'ir de vacaciones' commonly refers to to go on vacation in everyday conversation.
504,hacer un viaje,to take a trip,,General meaning: to take a trip | Usage note: 'hacer un viaje' commonly refers to to take a trip in everyday conversation.
505,pasarlo mal,to have a bad time,,General meaning: to have a bad time | Usage note: 'pasarlo mal' commonly refers to to have a bad time in everyday conversation.
506,sostenible,sustainable,,General meaning: sustainable | Usage note: 'sostenible' commonly refers to sustainable in everyday conversation.
507,el reportero,reporter,,General meaning: reporter | Usage note: 'el reportero' commonly refers to reporter in everyday conversation.
508,ganarse la vida,to earn a living,,General meaning: to earn a living | Usage note: 'ganarse la vida' commonly refers to to earn a living in everyday conversation.
509,la manifestación,demonstration,,General meaning: demonstration | Usage note: 'la manifestación' commonly refers to demonstration in everyday conversation.
510,el usuario,user,,General meaning: user | Usage note: 'el usuario' commonly refers to user in everyday conversation.
511,la sanidad,health,,General meaning: health | Usage note: 'la sanidad' commonly refers to health in everyday conversation.
512,el desempleo,unemployment,,General meaning: unemployment | Usage note: 'el desempleo' commonly refers to unemployment in everyday conversation.
513,el equilibrio,balance,,General meaning: balance | Usage note: 'el equilibrio' commonly refers to balance in everyday conversation.
514,el edificio de apartamentos,apartment building,,General meaning: apartment building | Usage note: 'el edificio de apartamentos' commonly refers to apartment building in everyday conversation.
515,llevarse mal,to get along badly,,General meaning: to get along badly | Usage note: 'llevarse mal' commonly refers to to get along badly in everyday conversation.
516,el beneficio,profit,,General meaning: profit | Usage note: 'el beneficio' commonly refers to profit in everyday conversation.
517,la ecologista,environmentalist,,General meaning: environmentalist | Usage note: 'la ecologista' commonly refers to environmentalist in everyday conversation.
518,la autoestima,self-esteem,,General meaning: self-esteem | Usage note: 'la autoestima' commonly refers to self-esteem in everyday conversation.
519,nutritivo,nutritious,,General meaning: nutritious | Usage note: 'nutritivo' commonly refers to nutritious in everyday conversation.
520,la diversión,entertainment,,General meaning: entertainment | Usage note: 'la diversión' commonly refers to entertainment in everyday conversation.
521,apasionado,passionate,,General meaning: passionate | Usage note: 'apasionado' commonly refers to passionate in everyday conversation.
522,comentar,to discuss,,General meaning: to discuss | Usage note: 'comentar' commonly refers to to discuss in everyday conversation.
523,el medicamento,medicine,,General meaning: medicine | Usage note: 'el medicamento' commonly refers to medicine in everyday conversation.
524,el cambio climático,climate change,,General meaning: climate change | Usage note: 'el cambio climático' commonly refers to climate change in everyday conversation.
525,el agricultor,farmer,,General meaning: farmer | Usage note: 'el agricultor' commonly refers to farmer in everyday conversation.
526,el funcionario,civil servant,,General meaning: civil servant | Usage note: 'el funcionario' commonly refers to civil servant in everyday conversation.
527,equilibrado,balanced,,General meaning: balanced | Usage note: 'equilibrado' commonly refers to balanced in everyday conversation.
528,el enfado,anger,,General meaning: anger | Usage note: 'el enfado' commonly refers to anger in everyday conversation.
529,el petróleo,oil,,General meaning: oil | Usage note: 'el petróleo' commonly refers to oil in everyday conversation.
530,la publicidad,advertising,,General meaning: advertising | Usage note: 'la publicidad' commonly refers to advertising in everyday conversation.
531,la entrega,delivery,,General meaning: delivery | Usage note: 'la entrega' commonly refers to delivery in everyday conversation.
532,la ciencia ficción,science fiction,,General meaning: science fiction | Usage note: 'la ciencia ficción' commonly refers to science fiction in everyday conversation.
533,la computación,computer science,,General meaning: computer science | Usage note: 'la computación' commonly refers to computer science in everyday conversation.
534,el rescate,rescue,,General meaning: rescue | Usage note: 'el rescate' commonly refers to rescue in everyday conversation.
535,el envase,container,,General meaning: container | Usage note: 'el envase' commonly refers to container in everyday conversation.
536,la informática,computing,,General meaning: computing | Usage note: 'la informática' commonly refers to computing in everyday conversation.
537,el requisito,requirement,,General meaning: requirement | Usage note: 'el requisito' commonly refers to requirement in everyday conversation.
538,el campamento,camp,,General meaning: camp | Usage note: 'el campamento' commonly refers to camp in everyday conversation.
539,el consumidor,consumer,,General meaning: consumer | Usage note: 'el consumidor' commonly refers to consumer in everyday conversation.
540,elaborar,to make,,General meaning: to make | Usage note: 'elaborar' commonly refers to to make in everyday conversation.
541,la aspirante,applicant,,General meaning: applicant | Usage note: 'la aspirante' commonly refers to applicant in everyday conversation.
542,el ascenso,promotion,,General meaning: promotion | Usage note: 'el ascenso' commonly refers to promotion in everyday conversation.
543,el descubrimiento,discovery,,General meaning: discovery | Usage note: 'el descubrimiento' commonly refers to discovery in everyday conversation.
544,el retraso,delay,,General meaning: delay | Usage note: 'el retraso' commonly refers to delay in everyday conversation.
545,la indígena,native,,General meaning: native | Usage note: 'la indígena' commonly refers to native in everyday conversation.
546,el árbitro,referee,,General meaning: referee | Usage note: 'el árbitro' commonly refers to referee in everyday conversation.
547,el diseñador,designer,,General meaning: designer | Usage note: 'el diseñador' commonly refers to designer in everyday conversation.
548,el préstamo,loan,,General meaning: loan | Usage note: 'el préstamo' commonly refers to loan in everyday conversation.
549,desigualdad,inequality,,General meaning: inequality | Usage note: 'desigualdad' commonly refers to inequality in everyday conversation.
550,el ayuntamiento,city council,,General meaning: city council | Usage note: 'el ayuntamiento' commonly refers to city council in everyday conversation.
