id,spanish,example_es,example_en,mood,tense
310,probarse,Me probaba la ropa de mi hermana mayor.,I used to try on my older sister's clothes.,Indicativo,Imperfecto
311,por supuesto,—¿Puedes ayudarme? —Por supuesto.,'Can you help me?' 'Of course.',,
312,el oso,Vimos un oso desde lejos en el bosque.,We saw a bear from a distance in the forest.,,
313,la sangre,El médico le sacó sangre para los análisis.,The doctor drew his blood for the tests.,,
314,utilizar,Él utilizaba una máquina de escribir antigua.,He used to use an old typewriter.,Indicativo,Imperfecto
315,flexible,Mi horario de trabajo es bastante flexible.,My work schedule is quite flexible.,,
316,el enlace,Haz clic en el enlace para más información.,Click the link for more information.,,
317,medir,El sastre medía la tela con mucho cuidado.,The tailor used to measure the fabric very carefully.,Indicativo,Imperfecto
318,elegir,Elegíamos el menú juntos cada semana.,We used to choose the menu together every week.,Indicativo,Imperfecto
319,relajarse,Nos relajábamos en la playa cada verano.,We used to relax at the beach every summer.,Indicativo,Imperfecto
320,recorrer,Los turistas recorrían el museo con una guía.,The tourists used to go around the museum with a guide.,Indicativo,Imperfecto
321,crecer,Él crecía muy rápido en esa época.,He was growing very fast at that time.,Indicativo,Imperfecto
322,alquilar,Alquilaban una cabaña en las montañas todos los inviernos.,They used to rent a cabin in the mountains every winter.,Indicativo,Imperfecto
323,aprovechar,Ella aprovechaba cada minuto libre para leer.,She used to take advantage of every free minute to read.,Indicativo,Imperfecto
324,transmitir,Ese canal transmitía dibujos animados por la mañana.,That channel used to broadcast cartoons in the morning.,Indicativo,Imperfecto
325,aumentar,Su sueldo aumentaba cada enero.,His salary used to increase every January.,Indicativo,Imperfecto
326,cazar,Su abuelo cazaba en las montañas.,His grandfather used to hunt in the mountains.,Indicativo,Imperfecto
327,colocar,Colocaba las herramientas en su lugar siempre.,He always used to put the tools back in place.,Indicativo,Imperfecto
328,importar,Su opinión me importaba mucho antes.,His opinion used to matter a lot to me before.,Indicativo,Imperfecto
329,presentar,Ella presentaba el programa de noticias cada noche.,She used to present the news program every night.,Indicativo,Imperfecto
330,saltar,Ella saltaba la cuerda todos los recreos.,She used to jump rope every recess.,Indicativo,Imperfecto
331,soler,Él solía cazar en las montañas.,He used to hunt in the mountains.,Indicativo,Imperfecto
332,jubilarse,"Antes, la gente se jubilaba mucho más joven.","In the past, people used to retire much younger.",Indicativo,Imperfecto
333,amenazar,Ese hombre amenazaba a sus vecinos constantemente.,That man used to threaten his neighbors constantly.,Indicativo,Imperfecto
334,matar,Esa enfermedad mataba a miles de personas antes de la vacuna.,That disease used to kill thousands of people before the vaccine.,Indicativo,Imperfecto
335,la vez,Esta es la primera vez que viajo solo.,This is the first time I've traveled alone.,,
336,el puente,Cruzamos el puente para llegar al otro lado del río.,We crossed the bridge to get to the other side of the river.,,
337,regalar,Mis abuelos nos regalaban dulces cada domingo.,My grandparents used to give us candy every Sunday.,Indicativo,Imperfecto
338,el mensaje,Te dejé un mensaje en el buzón de voz.,I left you a message on voicemail.,,
339,terrible,Tuvimos un día terrible en el trabajo.,We had a terrible day at work.,,
340,el mundo,Quiere viajar por todo el mundo.,She wants to travel around the whole world.,,
341,el sol,El sol sale muy temprano en verano.,The sun rises very early in summer.,,
342,saludar,Ella saludaba a todos por su nombre.,She used to greet everyone by name.,Indicativo,Imperfecto
343,soñar,"De niña, soñaba con ser astronauta.","As a girl, she used to dream of being an astronaut.",Indicativo,Imperfecto
344,ocupado,Estoy muy ocupado esta semana con exámenes.,I'm very busy this week with exams.,,
345,despedirse,Se despedían con un abrazo largo siempre.,They always used to say goodbye with a long hug.,Indicativo,Imperfecto
346,tener que,Antes tenía que caminar una hora para llegar al trabajo.,"Before, I used to have to walk an hour to get to work.",Indicativo,Imperfecto
347,romperse,Esa taza se rompía con facilidad.,That cup used to break easily.,Indicativo,Imperfecto
348,destruir,Esa plaga destruía las cosechas cada año.,That plague used to destroy the crops every year.,Indicativo,Imperfecto
349,lleno,El estadio estaba lleno de aficionados.,The stadium was full of fans.,,
350,preocuparse,Mis padres se preocupaban si llegaba tarde.,My parents used to worry if I arrived late.,Indicativo,Imperfecto
351,buenas noches,"Buenas noches, que descanses.","Good night, sleep well.",,
352,volar,Él volaba en globo cada fin de semana.,He used to fly in a hot air balloon every weekend.,Indicativo,Imperfecto
353,horrible,Tuvo una experiencia horrible en el hospital.,He had a horrible experience at the hospital.,,
354,último,Este es el último tren de la noche.,This is the last train of the night.,,
355,construir,Mi abuelo construía sus propios muebles.,My grandfather used to build his own furniture.,Indicativo,Imperfecto
356,encender,Encendía una vela cada noche antes de dormir.,She used to light a candle every night before sleeping.,Indicativo,Imperfecto
357,crear,Creaba historias fantásticas para sus hijos.,He used to create fantastic stories for his kids.,Indicativo,Imperfecto
358,gritar,Mi vecino gritaba cada vez que discutía por teléfono.,My neighbor used to shout every time he argued on the phone.,Indicativo,Imperfecto
359,describir,Ella describía sus viajes con mucha pasión.,She used to describe her trips with a lot of passion.,Indicativo,Imperfecto
360,llorar,Ella lloraba cada vez que veía esa película.,She used to cry every time she watched that movie.,Indicativo,Imperfecto
361,amar,Se amaban desde que eran niños.,They had loved each other since they were children.,Indicativo,Imperfecto
362,decidir,Él decidía todo sin consultar a nadie.,He used to decide everything without consulting anyone.,Indicativo,Imperfecto
363,la solución,Encontramos una solución rápida al problema.,We found a quick solution to the problem.,,
364,el autor,El autor firmó ejemplares de su nuevo libro.,The author signed copies of his new book.,,
365,famoso,Se hizo famoso después de su primera película.,He became famous after his first movie.,,
366,la actividad,El campamento ofrece muchas actividades al aire libre.,The camp offers many outdoor activities.,,
367,más o menos,Llegaremos en más o menos una hora.,We'll arrive in more or less an hour.,,
368,internacional,Trabaja para una organización internacional.,She works for an international organization.,,
369,original,Su idea era muy original.,His idea was very original.,,
370,la letra,No recuerdo la letra de esa canción.,I don't remember the lyrics of that song.,,
371,personal,Eso es un asunto muy personal.,That's a very personal matter.,,
372,la recepción,Deja la llave en la recepción del hotel.,Leave the key at the hotel reception.,,
373,el tráfico,El tráfico estaba terrible esta mañana.,Traffic was terrible this morning.,,
374,la sociedad,La educación es clave para el progreso de la sociedad.,Education is key to the progress of society.,,
375,organizado,Mi escritorio siempre está muy organizado.,My desk is always very organized.,,
376,comunicarse,Nos comunicábamos por carta antes de tener internet.,We used to communicate by letter before having internet.,Indicativo,Imperfecto
377,puro,Este aceite de oliva es puro.,This olive oil is pure.,,
378,comunicación,La buena comunicación evita muchos malentendidos.,Good communication prevents many misunderstandings.,,
379,la comunidad,Toda la comunidad ayudó a limpiar el parque.,The whole community helped clean the park.,,
380,la ecología,Estudia ecología para proteger los océanos.,She studies ecology to protect the oceans.,,
381,curioso,El niño es muy curioso y hace muchas preguntas.,The boy is very curious and asks a lot of questions.,,
382,informar,Ella informaba a los clientes cada semana.,She used to inform the clients every week.,Indicativo,Imperfecto
383,la violencia,La película muestra demasiada violencia.,The movie shows too much violence.,,
384,fantástico,Tuvimos un viaje fantástico por Italia.,We had a fantastic trip through Italy.,,
385,modesto,"A pesar de su éxito, sigue siendo muy modesto.","Despite his success, he remains very modest.",,
386,el crítico,El crítico de cine elogió la actuación principal.,The film critic praised the lead performance.,,
387,la vacación,Necesito una vacación después de tanto trabajo.,I need a vacation after so much work.,,
388,la memoria,Tiene muy buena memoria para los nombres.,He has a very good memory for names.,,
389,la conservación,El parque nacional se dedica a la conservación de especies.,The national park is dedicated to species conservation.,,
390,la graduación,Mis padres vinieron a mi graduación.,My parents came to my graduation.,,
391,la biología,La biología marina me parece fascinante.,Marine biology seems fascinating to me.,,
392,la invitación,Recibimos la invitación para la boda ayer.,We received the wedding invitation yesterday.,,
393,la acción,La película es de acción y aventura.,The movie is action and adventure.,,
394,la inseguridad,Su inseguridad le impide hablar en público.,His insecurity keeps him from speaking in public.,,
395,tradicional,Prepararon una comida tradicional para la fiesta.,They prepared a traditional meal for the party.,,
396,la región,Esta región es famosa por sus vinos.,This region is famous for its wines.,,
397,la internet,No funciona la internet en mi casa.,The internet isn't working at my house.,,
398,manipular,Ella manipulaba la situación a su favor siempre.,She always used to manipulate the situation to her advantage.,Indicativo,Imperfecto
399,el editor,El editor revisó todo el manuscrito antes de publicarlo.,The editor reviewed the whole manuscript before publishing it.,,
400,la protección,Los guantes ofrecen protección contra el frío.,The gloves offer protection against the cold.,,
401,la industria,La industria textil emplea a miles de personas.,The textile industry employs thousands of people.,,
402,la electricidad,Se fue la electricidad durante la tormenta.,The electricity went out during the storm.,,
403,la modelo,La modelo desfiló con un vestido rojo.,The model walked the runway in a red dress.,,
404,la operación,La operación duró casi cuatro horas.,The operation lasted almost four hours.,,
405,creativo,Necesitamos una solución creativa para este problema.,We need a creative solution for this problem.,,
406,la economía,La economía del país creció el año pasado.,The country's economy grew last year.,,
407,la geografía,Estudiamos la geografía de América del Sur.,We studied the geography of South America.,,
408,la gasolina,El precio de la gasolina subió otra vez.,The price of gasoline went up again.,,
409,especialmente,"Me gusta la fruta, especialmente las fresas.","I like fruit, especially strawberries.",,
410,la víctima,La víctima del accidente ya está fuera de peligro.,The accident victim is already out of danger.,,
411,controlar,Controlaba cada gasto de la empresa.,He used to control every company expense.,Indicativo,Imperfecto
412,increíble,Vimos un espectáculo increíble anoche.,We saw an incredible show last night.,,
413,la destrucción,El terremoto causó una destrucción enorme.,The earthquake caused enormous destruction.,,
414,consumir,Consumía mucha cafeína antes de dejar el café.,He used to consume a lot of caffeine before quitting coffee.,Indicativo,Imperfecto
415,la oportunidad,Le dieron la oportunidad de trabajar en el extranjero.,They gave him the opportunity to work abroad.,,
416,regular,Vamos al gimnasio de manera regular.,We go to the gym on a regular basis.,,
417,la dieta,Sigue una dieta baja en grasas.,He follows a low-fat diet.,,
418,el defecto,El producto tenía un pequeño defecto de fábrica.,The product had a small factory defect.,,
419,publicar,Publicaba fotos todos los días en su blog.,She used to publish photos every day on her blog.,Indicativo,Imperfecto
420,la agricultura,La agricultura es la principal actividad de esta región.,Agriculture is the main activity of this region.,,
421,atractivo,Encuentro muy atractivo su sentido del humor.,I find his sense of humor very attractive.,,
422,separado,Mis padres están separados desde hace dos años.,My parents have been separated for two years.,,
423,la cualidad,La honestidad es su mejor cualidad.,Honesty is his best quality.,,
424,el planeta,Marte es el cuarto planeta desde el sol.,Mars is the fourth planet from the sun.,,
425,informal,Fue una reunión bastante informal.,It was a fairly informal meeting.,,
426,ecónomico,El país atraviesa una crisis económica.,The country is going through an economic crisis.,,
427,la droga,La campaña advierte sobre los peligros de la droga.,The campaign warns about the dangers of drugs.,,
428,el video,Subí un video nuevo a mi canal.,I uploaded a new video to my channel.,,
429,contaminado,El agua del río está contaminada.,The river water is contaminated.,,
430,violento,Esa escena de la película es muy violenta.,That scene in the movie is very violent.,,
431,la discriminación,La ley protege a las personas contra la discriminación.,The law protects people against discrimination.,,
432,independiente,Se mudó sola para ser más independiente.,She moved out on her own to be more independent.,,
433,el objeto,Encontraron un objeto extraño en la playa.,They found a strange object on the beach.,,
434,la obra de arte,Ese cuadro es una obra de arte increíble.,That painting is an incredible work of art.,,
435,el salario,Recibió un aumento de salario este año.,He got a salary raise this year.,,
436,la generosidad,Agradecemos su generosidad con los más necesitados.,We appreciate his generosity toward those in need.,,
437,tener una cita,Tenía una cita cada mes con mi terapeuta.,I used to have an appointment every month with my therapist.,Indicativo,Imperfecto
438,llamarse,Este lugar se llamaba de otra forma antes.,This place used to be called something else before.,Indicativo,Imperfecto
439,la experiencia,Tiene mucha experiencia en atención al cliente.,She has a lot of experience in customer service.,,
440,la especialidad,La paella es la especialidad de este restaurante.,Paella is this restaurant's specialty.,,
441,la pensión,Recibe una pensión desde que se jubiló.,He receives a pension since he retired.,,
442,desorganizado,Su escritorio siempre está desorganizado.,His desk is always disorganized.,,
443,salir con,Salían juntos los fines de semana.,They used to go out together on weekends.,Indicativo,Imperfecto
444,el estrés,El estrés del trabajo le afecta el sueño.,Work stress is affecting his sleep.,,
445,el interés,El banco cobra un interés muy alto.,The bank charges very high interest.,,
446,la relación,Llevan una relación muy sana.,They have a very healthy relationship.,,
447,depositar,Depositaba una parte de su sueldo cada semana.,He used to deposit part of his salary every week.,Indicativo,Imperfecto
448,el crimen,La policía investiga el crimen desde ayer.,The police have been investigating the crime since yesterday.,,
449,la fecha de nacimiento,Escriba su fecha de nacimiento en el formulario.,Write your date of birth on the form.,,
450,tener cuidado,Teníamos mucho cuidado con las herramientas.,We used to be very careful with the tools.,Indicativo,Imperfecto
451,la información,Necesito más información antes de decidir.,I need more information before deciding.,,
452,tener sueño,Siempre tenía sueño después de comer.,I always used to get sleepy after eating.,Indicativo,Imperfecto
453,el correo electrónico,Te envié los documentos por correo electrónico.,I sent you the documents by email.,,
454,complicado,El examen fue más complicado de lo esperado.,The exam was more complicated than expected.,,
455,el músculo,Se lastimó un músculo de la pierna corriendo.,He hurt a leg muscle while running.,,
456,la página web,Diseñó la página web de su nuevo negocio.,He designed the web page for his new business.,,
457,inseguro,Se siente inseguro de hablar frente a mucha gente.,He feels insecure about speaking in front of a lot of people.,,
458,ecológico,Compramos productos de limpieza ecológicos.,We buy ecological cleaning products.,,
459,el candidato,El candidato ganó las elecciones por poco margen.,The candidate won the election by a small margin.,,
460,lavarse la cara,Se lavaba la cara con agua fría cada mañana.,She used to wash her face with cold water every morning.,Indicativo,Imperfecto
461,la campaña,Lanzaron una campaña publicitaria muy exitosa.,They launched a very successful advertising campaign.,,
462,tener celos,"De niño, tenía celos de mi hermano mayor.","As a kid, I used to be jealous of my older brother.",Indicativo,Imperfecto
463,talentoso,Es un músico muy talentoso.,He's a very talented musician.,,
464,el contrato,Firmamos el contrato de alquiler ayer.,We signed the rental contract yesterday.,,
465,tener razón,Mi madre siempre tenía razón en esas cosas.,My mother was always right about those things.,Indicativo,Imperfecto
466,la demanda,Hay una gran demanda de productos orgánicos.,There's a great demand for organic products.,,
467,insistir en,Insistía en hacer todo sola.,She used to insist on doing everything alone.,Indicativo,Imperfecto
468,la justicia,Buscan justicia para las víctimas del accidente.,They seek justice for the accident victims.,,
469,práctico,Es más práctico tomar el metro que el coche.,It's more practical to take the subway than the car.,,
470,vuestro,¿Es este vuestro coche?,Is this your car?,,
471,estresado,Está muy estresado por los exámenes finales.,He's very stressed about the final exams.,,
472,la estatua,Tomamos fotos junto a la estatua del parque.,We took photos next to the park statue.,,
473,el desastre,La fiesta terminó siendo un desastre.,The party ended up being a disaster.,,
474,el divorcio,Sus padres pasaron por un divorcio difícil.,His parents went through a difficult divorce.,,
475,el aumento,Pidió un aumento de sueldo a su jefe.,He asked his boss for a raise.,,
476,el laboratorio,Los científicos trabajan en el laboratorio toda la noche.,The scientists work in the laboratory all night.,,
477,quitar la mesa,Mi hermano quitaba la mesa todas las noches.,My brother used to clear the table every night.,Indicativo,Imperfecto
478,el campeón,Fue campeón del torneo dos años seguidos.,He was the tournament champion two years in a row.,,
479,tener éxito,Tenían éxito gracias a su buen equipo.,They were successful thanks to their good team.,Indicativo,Imperfecto
480,llevarse bien,Nos llevábamos bien a pesar de las diferencias.,We used to get along despite our differences.,Indicativo,Imperfecto
481,el sitio web,Compré las entradas en el sitio web oficial.,I bought the tickets on the official website.,,
482,la responsabilidad,Cuidar del perro es tu responsabilidad.,Taking care of the dog is your responsibility.,,
484,hablador,Mi tío es muy hablador en las reuniones familiares.,My uncle is very talkative at family gatherings.,,
485,el punto de vista,"Respeto tu punto de vista, aunque no esté de acuerdo.","I respect your point of view, even though I don't agree.",,
486,el archivo,Adjunté el archivo en el correo.,I attached the file to the email.,,
487,llegar tarde,Llegaba tarde todos los lunes.,She used to arrive late every Monday.,Indicativo,Imperfecto
488,el reportaje,Vimos un reportaje sobre el cambio climático.,We watched a report about climate change.,,
489,el juego de mesa,Jugamos un juego de mesa después de cenar.,We played a board game after dinner.,,
490,el entrevistador,El entrevistador hizo preguntas muy difíciles.,The interviewer asked very difficult questions.,,
491,la estrategia,El equipo cambió su estrategia en el segundo tiempo.,The team changed its strategy in the second half.,,
492,la deforestación,La deforestación amenaza a muchas especies animales.,Deforestation threatens many animal species.,,
493,lujoso,Se hospedaron en un hotel lujoso durante la luna de miel.,They stayed at a luxurious hotel during their honeymoon.,,
494,la infancia,Pasó su infancia en un pequeño pueblo.,He spent his childhood in a small town.,,
495,la crítica,El libro recibió muy buena crítica.,The book received very good reviews.,,
496,el invitado,El invitado de honor llegó tarde a la cena.,The guest of honor arrived late to the dinner.,,
497,disfrutar de,Disfrutaban de largas caminatas los domingos.,They used to enjoy long walks on Sundays.,Indicativo,Imperfecto
498,el consumo,El consumo de energía aumenta en verano.,Energy consumption increases in summer.,,
499,escalar montañas,Escalaba montañas todos los veranos de joven.,She used to climb mountains every summer when she was young.,Indicativo,Imperfecto
500,el recurso natural,El agua es un recurso natural muy valioso.,Water is a very valuable natural resource.,,
501,realista,Tenemos que ser realistas sobre el plazo del proyecto.,We have to be realistic about the project deadline.,,
502,estar a dieta,Siempre estaba a dieta antes del verano.,He was always on a diet before summer.,Indicativo,Imperfecto
503,ir de vacaciones,Iban de vacaciones a la montaña todos los inviernos.,They used to go on vacation to the mountains every winter.,Indicativo,Imperfecto
504,hacer un viaje,Mi familia hacía un viaje largo cada verano.,My family used to take a long trip every summer.,Indicativo,Imperfecto
505,pasarlo mal,Lo pasaba mal cada vez que viajaba en avión.,She used to have a bad time every time she traveled by plane.,Indicativo,Imperfecto
506,sostenible,Buscan un modelo de desarrollo más sostenible.,They are looking for a more sustainable development model.,,
507,el reportero,El reportero cubrió la noticia en vivo.,The reporter covered the news live.,,
508,ganarse la vida,Mis abuelos se ganaban la vida en el campo.,My grandparents used to earn a living in the fields.,Indicativo,Imperfecto
509,la manifestación,Miles de personas participaron en la manifestación.,Thousands of people took part in the demonstration.,,
510,el usuario,La aplicación tiene más de un millón de usuarios.,The app has more than a million users.,,
511,la sanidad,El gobierno invirtió más dinero en la sanidad pública.,The government invested more money in public healthcare.,,
512,el desempleo,El desempleo bajó durante el último trimestre.,Unemployment dropped during the last quarter.,,
513,el equilibrio,Es importante mantener el equilibrio entre trabajo y vida personal.,It's important to maintain a balance between work and personal life.,,
514,el edificio de apartamentos,Viven en un edificio de apartamentos cerca del centro.,They live in an apartment building near downtown.,,
515,llevarse mal,Mis padres se llevaban mal antes de divorciarse.,My parents used to get along badly before they got divorced.,Indicativo,Imperfecto
516,el beneficio,La empresa tuvo grandes beneficios este trimestre.,The company had large profits this quarter.,,
517,la ecologista,La ecologista organizó una protesta contra la tala de árboles.,The environmentalist organized a protest against tree cutting.,,
518,la autoestima,Hacer deporte mejoró mucho su autoestima.,Playing sports greatly improved her self-esteem.,,
519,nutritivo,Intentamos preparar comidas nutritivas para los niños.,We try to prepare nutritious meals for the kids.,,
520,la diversión,El parque de diversiones es pura diversión para los niños.,The amusement park is pure fun for the kids.,,
521,apasionado,Es un apasionado de la música clásica.,He's passionate about classical music.,,
522,comentar,Comentábamos las películas después de verlas.,We used to discuss the movies after watching them.,Indicativo,Imperfecto
523,el medicamento,Tienes que tomar este medicamento tres veces al día.,You have to take this medicine three times a day.,,
524,el cambio climático,El cambio climático afecta a todo el planeta.,Climate change affects the whole planet.,,
525,el agricultor,El agricultor cosecha maíz cada otoño.,The farmer harvests corn every fall.,,
526,el funcionario,Trabaja como funcionario en el ayuntamiento.,He works as a civil servant at the city council.,,
527,equilibrado,Es importante llevar una dieta equilibrada.,It's important to have a balanced diet.,,
528,el enfado,Se le pasó el enfado después de hablar con ella.,His anger went away after talking with her.,,
529,el petróleo,El precio del petróleo subió esta semana.,The price of oil went up this week.,,
530,la publicidad,Trabaja en publicidad para una marca de ropa.,She works in advertising for a clothing brand.,,
531,la entrega,La entrega del paquete tardó una semana.,The package delivery took a week.,,
532,la ciencia ficción,Le encantan las películas de ciencia ficción.,He loves science fiction movies.,,
533,la computación,Estudia computación en la universidad.,She studies computer science at university.,,
534,el rescate,El equipo de rescate llegó rápidamente al lugar del accidente.,The rescue team arrived quickly at the accident site.,,
535,el envase,Reciclamos el envase de plástico después de usarlo.,We recycle the plastic container after using it.,,
536,la informática,Trabaja en el departamento de informática de la empresa.,He works in the company's computing department.,,
537,el requisito,Cumplir con este requisito es obligatorio para el puesto.,Meeting this requirement is mandatory for the position.,,
538,el campamento,Los niños fueron a un campamento de verano.,The kids went to a summer camp.,,
539,el consumidor,La empresa escucha las quejas del consumidor.,The company listens to consumer complaints.,,
540,elaborar,Elaboraba su propio pan cada semana.,She used to make her own bread every week.,Indicativo,Imperfecto
541,la aspirante,La aspirante tuvo una entrevista excelente.,The applicant had an excellent interview.,,
542,el ascenso,Recibió un ascenso después de cinco años en la empresa.,He received a promotion after five years at the company.,,
543,el descubrimiento,El descubrimiento del nuevo fósil sorprendió a los científicos.,The discovery of the new fossil surprised scientists.,,
544,el retraso,Hubo un retraso de dos horas en el vuelo.,There was a two-hour delay on the flight.,,
545,la indígena,La comunidad indígena conserva sus tradiciones antiguas.,The indigenous community preserves its ancient traditions.,,
546,el árbitro,El árbitro sacó tarjeta roja al jugador.,The referee showed the player a red card.,,
547,el diseñador,El diseñador presentó su nueva colección de ropa.,The designer presented his new clothing collection.,,
548,el préstamo,Pidieron un préstamo al banco para comprar la casa.,They took out a loan from the bank to buy the house.,,
549,desigualdad,La desigualdad económica sigue siendo un gran problema.,Economic inequality remains a big problem.,,
550,el ayuntamiento,El ayuntamiento aprobó el nuevo parque.,The city council approved the new park.,,
551,pedir prestado,Pedía prestado libros de la biblioteca cada semana.,He used to borrow books from the library every week.,Indicativo,Imperfecto
552,el malentendido,Todo fue un malentendido entre nosotros.,It was all a misunderstanding between us.,,
553,empatar,Los equipos empataban con frecuencia esa temporada.,The teams used to tie frequently that season.,Indicativo,Imperfecto
554,presumido,Es demasiado presumido con su nuevo coche.,He's too conceited about his new car.,,
555,la inundación,La inundación destruyó varias casas del pueblo.,The flood destroyed several houses in the town.,,
556,la sabiduría,Sus palabras reflejan mucha sabiduría.,His words reflect great wisdom.,,
557,el calentamiento global,El calentamiento global está derritiendo los glaciares.,Global warming is melting the glaciers.,,
558,adelgazar,Adelgazaba cada verano por el calor.,He used to lose weight every summer because of the heat.,Indicativo,Imperfecto
559,aplaudir,Aplaudíamos cada vez que anotaba un gol.,We used to applaud every time he scored a goal.,Indicativo,Imperfecto
560,el aficionado,Es un gran aficionado del fútbol.,He's a huge soccer fan.,,
561,la sequía,La sequía afectó las cosechas de este año.,The drought affected this year's harvests.,,
562,el título,Todavía no decidí el título de mi tesis.,I still haven't decided on the title of my thesis.,,
563,el océano,El océano Pacífico es el más grande del mundo.,The Pacific Ocean is the largest in the world.,,
564,adolescencia,"Durante la adolescencia, los cambios físicos son constantes.","During adolescence, physical changes are constant.",,
565,grave,El paciente sufrió una lesión grave en el accidente.,The patient suffered a serious injury in the accident.,,
